login,date,equity,balance,ts
97063065,875199960,0,0,0
97063065,875200348,0,0,0
97063065,875205951,0,0,0
97063065,875211497,0,0,0
97063065,875212529,0,0,0
97063065,875213065,0,0,0
97063065,875216163,0,0,0
97063065,875264689,0,0,0
97063065,875266230,0,0,0
97063065,875266568,0,0,0
97063065,875270011,0,0,0
97063065,875295912,0,0,0
97063065,875297428,0,0,0
97063065,875302398,0,0,0
97063065,875306258,0,0,0
97063065,875307375,0,0,0
97063065,875308576,0,0,0
97063065,875325649,0,0,0
97063065,875329438,0,0,0
97063065,875329607,0,0,0
97063065,875332784,0,0,0
97063065,875343641,0,0,0
97063065,875347307,0,0,0
97063065,875363143,0,0,0
97063065,875363520,0,0,0
97063065,875363893,0,0,0
97063065,875364120,0,0,0
97063065,875367836,0,0,0
97063065,875378418,0,0,0
97063065,875378594,0,0,0
97063065,875386289,0,0,0
97063065,875400641,0,0,0
97063065,875401035,0,0,0
97063065,875402217,0,0,0
97063065,875402964,0,0,0
97063065,875403188,0,0,0
97063065,875405278,0,0,0
97063065,875407877,0,0,0
97063065,875408078,0,0,0
97063065,875413164,0,0,0
97063065,875415393,0,0,0
97063065,875417195,0,0,0
97063065,875430672,0,0,0
97063065,875431091,0,0,0
97063065,875432169,0,0,0
97063065,875437774,0,0,0
97063065,875476160,0,0,0
97063065,875482076,0,0,0
97063065,875492950,0,0,0
97063065,875511780,0,0,0
97063065,875512730,0,0,0
97063065,875513220,0,0,0
97063065,875520379,0,0,0
97063065,875523446,0,0,0
97063065,875539097,0,0,0
97063065,875542055,0,0,0
97063065,875543330,0,0,0
97063065,875544193,0,0,0
97063065,875549319,0,0,0
97063065,875549573,0,0,0
97063065,875552680,0,0,0
97063065,875567352,0,0,0
97063065,875569530,0,0,0
97063065,875581901,0,0,0
97063065,875584500,0,0,0
97063065,875587044,0,0,0
97063065,875601626,0,0,0
97063065,875604062,0,0,0
97063065,875606812,0,0,0
97063065,875608780,0,0,0
97063065,875618254,0,0,0
97063065,875632401,0,0,0
97063065,875633171,0,0,0
97063065,875634156,0,0,0
97063065,875634298,0,0,0
97063065,875634417,0,0,0
97063065,875635656,0,0,0
97063065,875642178,0,0,0
97063065,875643074,0,0,0
97063065,875643209,0,0,0
97063065,875644164,0,0,0
97063065,875646939,0,0,0
97063065,875647169,0,0,0
97063065,875653769,0,0,0
97063065,875665460,0,0,0
97063065,875667282,0,0,0
97063065,875668875,0,0,0
97063065,875669113,0,0,0
97063065,875675642,0,0,0
97063065,875677014,0,0,0
97063065,875678170,0,0,0
97063065,875678865,0,0,0
