login,posId,symbol,type,volume,openTime,openPrice,closeTime,closePrice,profit,swap,commission,date
97060181,891580778,XAUUSD.v,sell,0.04,1782116021,4185.95,1782143782,4195.88,-39.72,0.0,0.0,2026-06-22
97060181,891580896,XAUUSD.v,buy,0.02,1782116021,4186.36,1782143782,4195.46,18.2,0.0,0.0,2026-06-22
97060181,891609110,XAUUSD.v,sell,0.05,1782116958,4190.61,1782143782,4195.88,-26.35,0.0,0.0,2026-06-22
97060181,891609207,XAUUSD.v,buy,0.02,1782116959,4191.01,1782143782,4195.46,8.9,0.0,0.0,2026-06-22
97060181,891616304,XAUUSD.v,buy,0.02,1782116994,4193.66,1782117001,4195.27,3.22,0.0,0.0,2026-06-22
97060181,891623320,XAUUSD.v,buy,0.02,1782117007,4195.64,1782117394,4197.49,3.7,0.0,0.0,2026-06-22
97060181,891623373,XAUUSD.v,sell,0.06,1782117007,4196.02,1782143782,4195.88,0.84,0.0,0.0,2026-06-22
97060181,891623688,XAUUSD.v,buy,0.03,1782117008,4197.07,1782143782,4195.46,-4.83,0.0,0.0,2026-06-22
97060181,891625790,XAUUSD.v,buy,0.03,1782117020,4194.97,1782117401,4196.19,3.66,0.0,0.0,2026-06-22
97060181,891625810,XAUUSD.v,sell,0.01,1782117020,4194.37,1782117401,4196.61,-2.24,0.0,0.0,2026-06-22
97060181,891631063,XAUUSD.v,buy,0.03,1782117077,4190.76,1782117401,4196.19,16.29,0.0,0.0,2026-06-22
97060181,891631077,XAUUSD.v,sell,0.01,1782117077,4190.27,1782117401,4196.61,-6.34,0.0,0.0,2026-06-22
97060181,891649510,XAUUSD.v,buy,0.02,1782117409,4196.99,1782119882,4198.63,3.28,0.0,0.0,2026-06-22
97060181,891649758,XAUUSD.v,buy,0.03,1782117416,4196.61,1782119888,4198.14,4.59,0.0,0.0,2026-06-22
97060181,891649772,XAUUSD.v,sell,0.01,1782117417,4196.21,1782119888,4198.56,-2.35,0.0,0.0,2026-06-22
97060181,891670801,XAUUSD.v,buy,0.03,1782117994,4192.23,1782119888,4198.14,17.73,0.0,0.0,2026-06-22
97060181,891670971,XAUUSD.v,sell,0.01,1782117994,4191.79,1782119888,4198.56,-6.77,0.0,0.0,2026-06-22
97060181,891737293,XAUUSD.v,buy,0.02,1782119896,4198.12,1782120272,4200.06,3.88,0.0,0.0,2026-06-22
97060181,891737726,XAUUSD.v,buy,0.03,1782119909,4197.57,1782120275,4199.78,6.63,0.0,0.0,2026-06-22
97060181,891737732,XAUUSD.v,sell,0.01,1782119909,4197.15,1782120275,4200.2,-3.05,0.0,0.0,2026-06-22
97060181,891749289,XAUUSD.v,buy,0.02,1782120283,4200.4,1782121486,4202.21,3.62,0.0,0.0,2026-06-22
97060181,891749549,XAUUSD.v,sell,0.07,1782120290,4200.35,1782143782,4195.88,31.29,0.0,0.0,2026-06-22
97060181,891749605,XAUUSD.v,buy,0.03,1782120291,4200.78,1782143782,4195.46,-15.96,0.0,0.0,2026-06-22
97060181,891751728,XAUUSD.v,buy,0.03,1782120318,4199.91,1782121490,4202.34,7.29,0.0,0.0,2026-06-22
97060181,891751742,XAUUSD.v,sell,0.01,1782120318,4199.36,1782121490,4202.76,-3.4,0.0,0.0,2026-06-22
97060181,891760918,XAUUSD.v,buy,0.03,1782120625,4195.5,1782121490,4202.34,20.52,0.0,0.0,2026-06-22
97060181,891760939,XAUUSD.v,sell,0.01,1782120625,4195.08,1782121490,4202.76,-7.68,0.0,0.0,2026-06-22
97060181,891803034,XAUUSD.v,sell,0.08,1782121876,4205.5,1782143782,4195.88,76.96,0.0,0.0,2026-06-22
97060181,891803066,XAUUSD.v,buy,0.04,1782121876,4206.36,1782143782,4195.46,-43.6,0.0,0.0,2026-06-22
97060181,891868589,XAUUSD.v,buy,0.02,1782124208,4197.71,1782124383,4199.35,3.28,0.0,0.0,2026-06-22
97060181,891873222,XAUUSD.v,buy,0.03,1782124246,4195.45,1782124388,4199.35,11.7,0.0,0.0,2026-06-22
97060181,891873299,XAUUSD.v,sell,0.01,1782124246,4194.73,1782124388,4199.77,-5.04,0.0,0.0,2026-06-22
97060181,891885187,XAUUSD.v,buy,0.02,1782124396,4199.81,1782129882,4201.4,3.18,0.0,0.0,2026-06-22
97060181,891885850,XAUUSD.v,buy,0.03,1782124407,4199.38,1782126884,4189.73,-28.95,0.0,0.0,2026-06-22
97060181,891885853,XAUUSD.v,sell,0.01,1782124407,4198.98,1782129889,4202.89,-3.91,0.0,0.0,2026-06-22
97060181,891895105,XAUUSD.v,buy,0.03,1782124799,4195.15,1782126678,4189.71,-16.32,0.0,0.0,2026-06-22
97060181,891895107,XAUUSD.v,sell,0.01,1782124800,4194.98,1782129889,4202.89,-7.91,0.0,0.0,2026-06-22
97060181,891922812,XAUUSD.v,buy,0.04,1782125660,4190.77,1782125827,4189.68,-4.36,0.0,0.0,2026-06-22
97060181,891922822,XAUUSD.v,sell,0.02,1782125660,4190.49,1782129889,4202.89,-24.8,0.0,0.0,2026-06-22
97060181,891929136,XAUUSD.v,buy,0.04,1782125838,4190.61,1782126112,4188.74,-7.48,0.0,0.0,2026-06-22
97060181,891929138,XAUUSD.v,sell,0.02,1782125838,4190.19,1782126009,4190.31,-0.24,0.0,0.0,2026-06-22
